StationID,TestMaterial,CompositeID,SampleDate,TeamNumber,ParameterCode,SampleCollectionTime,SampleType,LabRep,Qualifier,Result,Units,LabCode,Comments
CMWAP00,lagoon water,NA,2010-11-13,NA,conductivity,1899-12-31T14:33:00Z,average,NA,NA,2251,us,CATE,NA
CMWAP00,lagoon water,NA,2010-11-13,NA,do,1899-12-31T14:33:00Z,average,NA,NA,12.54,mg/l ppm,CATE,NA
CMWAP00,lagoon water,NA,2010-11-13,NA,do % sat,1899-12-31T14:33:00Z,average,NA,NA,132.5,% sat,CATE,NA
CMWAP00,lagoon water,NA,2010-11-13,NA,ph,1899-12-31T14:33:00Z,average,NA,NA,8.16,ph,CATE,NA
CMWAP00,lagoon water,NA,2010-11-13,NA,temp,1899-12-31T14:33:00Z,average,NA,NA,17.8,deg c,CATE,NA
CMWAP00,lagoon water,NA,2010-11-13,NA,turb,1899-12-31T14:33:00Z,average,NA,NA,4.31,ntu,CATE,NA
CMWAP00,lagoon water,NA,2010-12-11,NA,conductivity,1899-12-31T14:00:00Z,average,NA,NA,8850,us,CATE,NA
CMWAP00,lagoon water,NA,2010-12-11,NA,do,1899-12-31T14:00:00Z,average,NA,NA,11.49,mg/l ppm,CATE,NA
CMWAP00,lagoon water,NA,2010-12-11,NA,do % sat,1899-12-31T14:00:00Z,average,NA,NA,122.7,% sat,CATE,NA
CMWAP00,lagoon water,NA,2010-12-11,NA,ph,1899-12-31T14:00:00Z,average,NA,NA,8.06,ph,CATE,NA
CMWAP00,lagoon water,NA,2010-12-11,NA,temp,1899-12-31T14:00:00Z,average,NA,NA,17.2,deg c,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,conductivity,1899-12-31T09:58:00Z,average,NA,NA,1700,us,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,do,1899-12-31T09:58:00Z,average,NA,NA,11.67,mg/l ppm,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,do % sat,1899-12-31T09:58:00Z,average,NA,NA,106.7,% sat,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,ph,1899-12-31T09:58:00Z,average,NA,NA,7.8,ph,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,temp,1899-12-31T09:58:00Z,average,NA,NA,11.2,deg c,CATE,NA
CMWAP00,lagoon water,NA,2011-01-15,NA,turb,1899-12-31T09:58:00Z,average,NA,NA,2.76,ntu,CATE,NA
CMWAP00,lagoon water,NA,2011-02-26,NA,do,1899-12-31T10:30:00Z,average,NA,NA,10.76,mg/l ppm,CATE,NA
CMWAP00,lagoon water,NA,2011-02-26,NA,do % sat,1899-12-31T10:30:00Z,average,NA,NA,100.2,% sat,CATE,NA
CMWAP00,lagoon water,NA,2011-02-26,NA,ph,1899-12-31T10:30:00Z,average,NA,NA,7.98,ph,CATE,NA
CMWAP00,lagoon water,NA,2011-02-26,NA,temp,1899-12-31T10:30:00Z,average,NA,NA,12.3,deg c,CATE,NA
CMWAP00,lagoon water,NA,2011-02-26,NA,turb,1899-12-31T10:30:00Z,average,NA,NA,117,ntu,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,conductivity,1899-12-31T07:20:00Z,average,NA,NA,741,us,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,do,1899-12-31T07:20:00Z,average,NA,NA,10.5,mg/l ppm,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,do % sat,1899-12-31T07:20:00Z,average,NA,NA,94.2,% sat,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,ph,1899-12-31T07:20:00Z,average,NA,NA,8.34,ph,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,temp,1899-12-31T07:20:00Z,average,NA,NA,10.5,deg c,CATE,NA
CMWAP00,lagoon water,NA,2011-03-26,NA,turb,1899-12-31T07:20:00Z,average,NA,NA,31.07,ntu,CATE,NA
CMWAP00,lagoon water,NA,2011-04-30,NA,conductivity,1899-12-31T09:45:00Z,average,NA,NA,1621,us,CATE,NA
CMWAP00,lagoon water,NA,2011-04-30,NA,do % sat,1899-12-31T09:45:00Z,average,NA,NA,79.3,% sat,CATE,NA
CMWAP00,lagoon water,NA,2011-04-30,NA,ph,1899-12-31T09:45:00Z,average,NA,NA,7.78,ph,CATE,NA
CMWAP00,lagoon water,NA,2011-04-30,NA,temp,1899-12-31T09:45:00Z,average,NA,NA,14.1,deg c,CATE,NA
CMWAP00,lagoon water,NA,2011-04-30,NA,turb,1899-12-31T09:45:00Z,average,NA,NA,1.31,ntu,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-05-26,NA,conductivity,1899-12-31T05:00:00Z,average,NA,NA,3487,us,CATE,NA
CMWAP00,lagoon water,Diel PM,2011-05-26,NA,conductivity,1899-12-31T13:15:00Z,average,NA,NA,3643,us,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-05-26,NA,do,1899-12-31T05:00:00Z,average,NA,NA,14.03,mg/l ppm,CATE,NA
CMWAP00,lagoon water,Diel PM,2011-05-26,NA,do,1899-12-31T13:15:00Z,average,NA,NA,17.16,mg/l ppm,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-05-26,NA,do % sat,1899-12-31T05:00:00Z,average,NA,NA,160.35,% sat,CATE,NA
CMWAP00,lagoon water,Diel PM,2011-05-26,NA,do % sat,1899-12-31T13:15:00Z,average,NA,NA,200,% sat,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-05-26,NA,ph,1899-12-31T05:00:00Z,average,NA,NA,8.85,ph,CATE,NA
CMWAP00,lagoon water,Diel PM,2011-05-26,NA,ph,1899-12-31T13:15:00Z,average,NA,NA,9.14,ph,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-05-26,NA,temp,1899-12-31T05:00:00Z,average,NA,NA,21.5,deg c,CATE,NA
CMWAP00,lagoon water,Diel PM,2011-05-26,NA,temp,1899-12-31T13:15:00Z,average,NA,NA,22.5,deg c,CATE,NA
CMWAP00,lagoon water,Diel AM,2011-06-29,NA,conductivity,1899-12-31T05:16:00Z,average,NA,NA,15443,us,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,conductivity,1899-12-31T13:00:00Z,average,NA,NA,7537,us,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-06-29,NA,do,1899-12-31T05:16:00Z,average,NA,NA,7.38,mg/l ppm,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,do,1899-12-31T13:00:00Z,average,NA,NA,13.01,mg/l ppm,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-06-29,NA,do % sat,1899-12-31T05:16:00Z,average,NA,NA,79.8,% sat,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,do % sat,1899-12-31T13:00:00Z,average,NA,NA,150.6,% sat,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-06-29,NA,ph,1899-12-31T05:16:00Z,average,NA,NA,7.94,ph,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,ph,1899-12-31T13:00:00Z,average,NA,NA,8.06,ph,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-06-29,NA,temp,1899-12-31T05:16:00Z,average,NA,NA,18.9,deg c,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,temp,1899-12-31T13:00:00Z,average,NA,NA,22.4,deg c,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-06-29,NA,turb,1899-12-31T13:00:00Z,average,NA,NA,7.11,ntu,SBCK,NA
CMWAP00,lagoon water,Diel PM,2011-07-29,NA,conductivity,1899-12-31T13:00:00Z,average,NA,NA,2843,us,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-07-29,NA,conductivity,1899-12-31T04:54:00Z,average,NA,NA,2736,us,SBCK,NA
CMWAP00,lagoon water,Diel AM,2011-07-29,NA,do,1899-12-31T04:54:00Z,average,NA,NA,7.37,mg/l ppm,SBCK,NA
