StationID,SiteName,SampleDate,SampleTime,ParameterCode,Result,Units,Comments,Flagged
CMWAP00,Arroyo Paradon Creek,2011-12-10,NA,Nitrate,24.07,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2011-12-10,NA,Phosphate,4.17,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-01-14,10:05:00,Nitrate,23.76,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-01-14,10:05:00,Phosphate,4.72,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-04-01,11:00:00,Nitrate,13.11,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-04-01,11:00:00,Phosphate,2.1,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-05-11,11:00:00,Nitrate,20.7,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-05-11,11:00:00,Phosphate,2.93,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-06-20,11:00:00,Nitrate,25.19,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-06-20,11:00:00,Phosphate,6.53,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-08-06,11:00:00,Nitrate,16.39,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-10-30,11:00:00,Nitrate,19,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2012-10-30,11:00:00,Phosphate,2.97,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2013-01-12,10:30:00,Nitrate,8.61,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-01-12,10:30:00,Phosphate,2.89,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-02-10,13:52:00,Nitrate,12.7,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-02-10,13:52:00,Phosphate,2.78,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-07-25,11:00:00,Nitrate,15.08,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-07-25,11:00:00,Phosphate,3.26,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-08-21,11:30:00,Nitrate,11.69,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-08-21,11:30:00,Phosphate,0.8,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-12-14,10:05:00,Nitrate,17.75,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2013-12-14,10:05:00,Phosphate,2.8,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-01-28,NA,Nitrate,13.93,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-01-28,NA,Phosphate,2.69,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-03-30,NA,Nitrate,13.08,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-03-30,NA,Phosphate,2.92,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-07-14,11:00:00,Nitrate,16.6,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-07-14,11:00:00,Phosphate,1.54,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-08-07,11:00:00,Nitrate,16.6,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-08-07,11:00:00,Phosphate,1.48,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-12-13,09:00:00,Nitrate,10.79,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2014-12-13,09:00:00,Phosphate,1.15,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-01-17,09:00:00,Nitrate,10.67,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-01-17,09:00:00,Phosphate,1.31,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-02-21,09:00:00,Nitrate,20.68,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-02-21,09:00:00,Phosphate,3.39,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-03-28,09:00:00,Nitrate,16.03,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-03-28,09:00:00,Phosphate,3.26,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-04-18,09:00:00,Nitrate,14.41,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-04-18,09:00:00,Phosphate,2.79,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-05-17,09:00:00,Nitrate,9.74,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-05-17,09:00:00,Phosphate,1.75,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-06-15,11:00:00,Nitrate,17.75,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-06-15,11:00:00,Phosphate,3.29,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-07-15,11:00:00,Nitrate,12.4,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-07-15,11:00:00,Phosphate,0.71,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-08-03,11:00:00,Nitrate,11.12,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-08-03,11:00:00,Phosphate,0.91,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-12-12,11:00:00,Nitrate,5.03,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2015-12-12,11:00:00,Phosphate,1.27,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-01-16,11:00:00,Nitrate,11.19,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-01-16,11:00:00,Phosphate,1.58,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-02-10,11:00:00,Nitrate,5.47,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-02-10,11:00:00,Phosphate,0.4,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-03-10,11:00:00,Nitrate,9.74,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-03-10,11:00:00,Phosphate,0.99,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-04-07,11:00:00,Nitrate,15.64,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-04-07,11:00:00,Phosphate,2.28,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-05-21,11:00:00,Nitrate,12.89,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-05-21,11:00:00,Phosphate,1.34,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-06-14,11:00:00,Nitrate,7.87,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-06-14,11:00:00,Phosphate,1.14,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-07-14,11:00:00,Nitrate,9.81,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-07-14,11:00:00,Phosphate,0.61,mg/L,Delayed Sample Analysis,NA
CMWAP00,Arroyo Paradon Creek,2016-08-08,09:45:00,Nitrate,18.2,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2016-10-21,09:56:00,Nitrate,3.6,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2016-11-28,10:14:00,Nitrate,5.5,mg/L,NA,NA
CMWAP00,Arroyo Paradon Creek,2016-12-21,09:30:00,Nitrate,14.2,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-04-30,11:30:00,Nitrate,1.46,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-04-30,11:30:00,Phosphate,0,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-05-28,11:30:00,Nitrate,4.25,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-05-28,11:30:00,Phosphate,0.02,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-06-29,11:30:00,Nitrate,2.81,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-06-29,11:30:00,Phosphate,0.02,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-08-06,11:30:00,Nitrate,0.72,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-08-06,11:30:00,Phosphate,0.02,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-08-25,14:30:00,Nitrate,0.14,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-08-25,14:30:00,Phosphate,0.04,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-12-10,NA,Nitrate,2.85,mg/L,NA,NA
CMWCL00,Carpinteria Creek Lagoon,2011-12-10,NA,Phosphate,0.01,mg/L,NA,NA
