Watershed,CreekorStream,SiteName,SiteCode,Longitude,Latitude,SamplingFrequency,WaterQualityDataRange,Description
Carpinteria,Arroyo Paredon Lagoon,Arroyo Paredon Lagoon at Padaro,CMWAP00,-119.558022, 34.413871,monthly year round,2010-Present,Sampled from Padaro Lane
Carpinteria,Carpinteria Lagoon,Carpinteria Creek Lagoon at State Beach,CMWCL00,-119.518935, 34.391234,monthly year round,2010-Present,Sampled from State Beach bridge
Carpinteria,Carpinteria Salt Marsh,Carpinteria Salt Marsh at outlet,CMWCM00,-119.536081, 34.398367,monthly year round,2010-Present,NA
Carpinteria,Carpinteria Salt Marsh,Carpinteria Salt Marsh at Railroad Bridge,CMWCM01,-119.538697, 34.398593,monthly year round,2010-Present,NA
Carpinteria,Carpinteria Creek,Carpinteria Creek at 8th Street,CMWCP00,-119.514283, 34.392810,monthly year round,2010-Present,(LTER Site) Sampled from footbridge
Carpinteria,Franklin Creek,Franklin Creek at Carpinteria Ave.,CMWFK00,-119.521907, 34.401268,monthly year round,2010-Present,(LTER Site) Sampled from Carpinteria Ave. bridge
Carpinteria,Santa Monica Creek,Santa Monica Creek at Via Real,CMWSM01,-119.528771, 34.404873,monthly year round,2010-Present,(LTER Site) Sampled from Via Real bridge
Goleta,Atascadero Creek,Atascadero Creek at Ward,GVWAT1,-119.821098, 34.423039,monthly year round,2001-Present,"Atascadero creek terminus, tidal influence limit"
Goleta,Atascadero Creek,Atascadero Creek at Patterson,GVWAT2,-119.810724, 34.424729,monthly year round,2000-Present,Upstream of Maria Ygnacio creek confluence
Goleta,Atascadero Creek,Atascadero Creek at Puente Drive,GVWAT3,-119.784093, 34.432497,monthly year round,2001-Present,"Above golf course and agriculture, concrete channel"
Goleta,Bell Creek,Bell Creek Lagoon,GVWBL01,-119.913035, 34.429542,monthly year round,2008-Present,Lagoon site
Goleta,Bell Creek,Bell Creek at San Miguel Open Space,GVWBL02,-119.905585, 34.439281,monthly year round,2008-Present,Accessible Bell Creek location downstream of agricultural land uses
Goleta,Cieneguitas Creek,Cieneguitas Creek at Nogal Drive,GVWCG1,-119.770866, 34.436197,monthly year round,2002-Present,Urban runoff signal from upper State St. and Foothill Rd
Goleta,El Encanto Creek,El Encanto Creek at Devereux Slough,GVWDV20,-119.874089, 34.417646,monthly year round,2014-Present,"Below the golf course influence, main dry weather tributary to Devereux Slough"
Goleta,El Encanto Creek,El Encanto Creek (Phelps Ditch) above Ocean Meadows Golf Course,GVWDV21,-119.879145, 34.422375,monthly year round,2006-Present,"Above golf course influence, main dry weather tributary to Devereux Slough"
Goleta,El Encanto Creek,El Encanto Creek (Phelps Ditch) at Phelps Rd.,GVWDV22,-119.880727, 34.424786,monthly year round,2006-Present,Downstream terminus of concrete channel
Goleta,El Encanto Creek,El Encanto Creek (Phelps Ditch) at Padova Park,GVWDV24,-119.883816, 34.437706,monthly year round,2006-Present,Near upstream extent of urbanized boundary
Goleta,El Encanto Creek,Tributary of El Encanto Creek (Phelps Ditch) at Evergreen Frisbee Course,GVWDV25,-119.886001, 34.436425,monthly year round,2007-Present,West tributary to El Encanto Creek (Phelps Ditch)
